payload_kg,distance_km,battery_pct,wind_speed_mps,rain_mm,time_of_day,num_stops,success
1.94,7.93,43.6,7.5,3.65,morning,2,0
4.76,9.52,40.0,11.2,0.92,morning,1,0
3.69,17.11,25.9,8.44,1.73,evening,3,0
3.03,6.87,64.7,1.25,3.32,night,1,1
0.86,17.41,52.9,2.78,2.41,afternoon,2,0
0.86,1.85,87.9,3.29,3.69,morning,2,1
0.38,15.56,12.9,3.87,4.81,morning,2,0
4.34,16.97,67.9,8.48,0.58,morning,1,0
3.05,3.72,78.7,7.56,3.55,afternoon,2,1
3.57,8.66,78.4,3.05,1.15,morning,1,1
0.2,3.39,89.7,1.01,2.07,night,1,1
4.85,14.16,75.6,2.57,0.16,afternoon,3,0
4.18,10.75,93.5,14.77,0.68,evening,3,1
1.14,12.74,39.9,7.03,1.6,morning,2,0
0.99,4.01,55.3,13.01,1.71,morning,1,0
1.0,4.31,11.3,12.73,4.5,evening,2,0
1.59,0.93,10.6,7.67,3.71,night,1,0
2.67,6.51,31.6,10.6,4.86,afternoon,1,0
2.22,11.24,19.1,2.89,3.0,night,2,0
1.53,17.17,33.4,10.33,1.21,night,1,0
3.1,13.37,25.9,4.09,1.64,morning,3,0
0.78,8.76,12.6,12.48,1.6,morning,1,0
1.53,19.07,91.8,1.26,1.63,evening,1,1
1.9,14.41,10.7,11.6,3.36,afternoon,2,0
2.33,18.61,76.2,1.5,2.65,morning,2,0
3.95,10.6,23.7,13.22,1.93,afternoon,1,0
1.08,5.25,92.1,4.56,0.75,afternoon,1,1
2.62,1.15,90.4,9.82,0.11,night,2,1
3.0,14.55,68.9,7.31,1.09,morning,1,0
0.33,2.51,70.5,5.49,0.54,morning,1,1
3.08,6.13,10.5,9.68,3.93,afternoon,2,0
0.94,10.7,98.6,14.21,0.56,evening,1,1
0.42,11.33,89.0,0.62,3.62,evening,3,1
4.75,12.05,90.6,13.78,1.93,night,2,0
4.83,3.41,69.3,9.14,0.37,evening,3,1
4.06,7.66,41.0,12.11,4.06,evening,1,0
1.59,12.38,90.4,5.76,2.9,morning,3,1
0.58,19.4,36.2,7.08,1.18,afternoon,1,0
3.45,14.58,60.6,13.03,4.47,evening,1,0
2.26,18.46,19.0,6.22,0.23,night,1,0
0.7,15.27,93.0,8.02,1.01,night,1,1
2.53,11.88,22.7,0.3,3.76,evening,1,0
0.27,3.92,30.2,2.38,3.55,afternoon,2,0
4.56,13.37,60.2,9.63,1.45,morning,1,0
1.37,12.51,78.8,10.75,0.31,morning,1,1
3.35,12.09,65.7,8.74,4.29,morning,2,0
1.63,9.85,30.9,2.15,1.57,morning,1,0
2.65,10.62,10.1,6.68,0.98,afternoon,2,0
2.78,6.76,78.1,5.33,2.58,afternoon,2,1
1.01,10.43,98.7,7.43,4.55,evening,3,1
4.85,4.03,82.9,13.05,0.22,afternoon,1,1
3.9,16.12,51.4,11.64,3.83,evening,3,0
4.7,3.8,91.3,1.26,2.86,afternoon,2,1
4.48,1.79,46.9,13.35,2.13,morning,3,0
3.03,8.78,57.2,7.08,3.72,night,1,0
4.62,13.2,52.9,11.16,4.83,morning,2,0
